U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
33,90V;28,76V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:40.679
33,90V;28,76V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:41.679
33,90V;28,77V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:42.678
33,90V;28,77V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:43.679
33,90V;28,78V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:44.679
33,90V;28,78V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:45.679
33,90V;28,79V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:46.679
33,90V;28,79V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:47.679
33,90V;28,80V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:48.679
33,90V;28,80V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:49.679
33,90V;28,81V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:50.679
33,90V;28,81V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:51.679
33,90V;28,82V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:52.679
33,90V;28,82V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:53.679
33,90V;28,82V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:54.679
33,90V;28,83V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:55.679
33,90V;28,83V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:56.679
33,90V;28,83V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:57.679
33,90V;28,84V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:58.679
33,90V;28,84V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:21:59.679
33,90V;28,85V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:00.679
33,90V;28,85V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:01.679
33,90V;28,85V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:02.679
33,90V;28,86V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:03.679
33,90V;28,86V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:04.679
33,90V;28,87V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:05.679
33,90V;28,87V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:06.679
33,90V;28,87V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:07.679
33,90V;28,88V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:08.679
33,90V;28,88V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:09.679
33,90V;28,89V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:10.679
33,90V;28,89V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:11.679
33,90V;28,89V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:12.679
33,90V;28,89V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:13.679
33,90V;28,90V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:14.679
33,90V;28,90V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:15.679
33,90V;28,91V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:16.679
33,90V;28,91V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:17.679
33,90V;28,91V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:18.679
33,90V;28,92V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:19.679
33,90V;28,92V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:20.679
33,90V;28,92V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:21.679
33,90V;28,93V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:22.679
33,90V;28,93V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:23.679
33,90V;28,93V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:24.679
33,90V;28,94V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:25.680
33,90V;28,94V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:26.679
33,90V;28,94V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:27.679
33,90V;28,95V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:28.680
33,90V;28,95V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:29.679
33,90V;28,95V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:30.679
33,90V;28,95V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:31.679
33,90V;28,96V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:32.679
33,90V;28,96V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:33.679
33,90V;28,96V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:34.679
33,90V;28,96V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:35.679
33,90V;28,97V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:36.679
33,90V;28,97V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:37.679
33,90V;28,97V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:38.679
33,90V;28,98V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:22:39.680
